Country,CountryID,Continent,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Canada,124,NA,8640.2,9328.8,10385.8,10926,10974.1,11962.7,12810.4,13649.2,15281.8,17751.8,14716.8,16369.1,18675.6,19271.7,20607.3,22018.5
Mexico,484,NA,4984.5,5323.9,5436.7,5658.9,6455.2,7371.4,8387.4,9316.3,10168.8,10832.1,11286.2,13394.4,15649.6,16037.2,17314.3,19230.3
China,156,AS,940.6,1065.3,1162.7,1492,1984.2,2319.4,2691.3,3475.4,4014.5,4635.8,4019.4,4652.5,5332.4,5604.1,5647.6,5755.5
India,356,AS,926.2,966.3,855.2,922.3,992,1099.9,1099.8,1143,1172.1,1493,1249.5,1676.9,2920.6,5361.6,4110.9,4154.8
France,250,EU,1940.1,1819.1,1781.7,2024.6,2364.2,2464.8,2650,2951.4,3387.3,3377.8,2744.3,3010.9,3482.7,3701.2,3891.6,4084.2
Chile,152,SA,1169,1379.4,1362.3,1504.4,1710.3,1831,2070,2444.6,2584.7,2750.9,2626,2650.2,3006.1,3171.1,3873.7,4074.1
Italy,380,EU,1358.6,1469.5,1478.6,1707,1992.3,2212.1,2483.4,2648.6,2900.4,3091.1,2785.2,2911.9,3338.4,3410.2,3663.3,3953.5
Brazil,76,SA,1207.5,986.5,839.6,947.7,1285.1,1435.3,1730.9,2725.3,2495,2521,2040.4,2567.3,3962.5,4153.2,3801.8,3746.6
Australia,36,OC,1162.8,1437.8,1583.5,1718,1917.5,2252.9,2226.7,2223.9,2378.8,2154.9,2062.7,2063.4,2099.7,2360.2,2420.6,3485
Indonesia,360,AS,878.1,843.1,794.3,837.5,961.8,1147.4,1333.5,1404.7,1486.6,1969,1773.3,1967.6,2307.8,2282.7,2559.2,3306.2
Vietnam,704,AS,270.1,451.3,573.5,727.9,883.5,847.6,944.2,1010.4,1199.8,1345.8,1259.3,1635.3,2090,2204.6,2519.9,3099.3
Thailand,764,AS,1860.9,2059.4,1873.1,1662.8,1840.9,1865,2032,2366.7,2439,2834.6,2890.5,3279,3635.4,3270.2,3031.7,2963.8
