Country,CountryID,1999-Bulk,2000-Bulk,2001-Bulk,2002-Bulk,2003-Bulk,2004-Bulk,2005-Bulk,2006-Bulk,2007-Bulk,2008-Bulk,2009-Bulk,2010-Bulk,2011-Bulk,2012-Bulk,2013-Bulk,2014-Bulk,1999-Wheat,2000-Wheat,2001-Wheat,2002-Wheat,2003-Wheat,2004-Wheat,2005-Wheat,2006-Wheat,2007-Wheat,2008-Wheat,2009-Wheat,2010-Wheat,2011-Wheat,2012-Wheat,2013-Wheat,2014-Wheat,1999-Rice,2000-Rice,2001-Rice,2002-Rice,2003-Rice,2004-Rice,2005-Rice,2006-Rice,2007-Rice,2008-Rice,2009-Rice,2010-Rice,2011-Rice,2012-Rice,2013-Rice,2014-Rice,1999-Milled,2000-Milled,2001-Milled,2002-Milled,2003-Milled,2004-Milled,2005-Milled,2006-Milled,2007-Milled,2008-Milled,2009-Milled,2010-Milled,2011-Milled,2012-Milled,2013-Milled,2014-Milled,1999-Cereal,2000-Cereal,2001-Cereal,2002-Cereal,2003-Cereal,2004-Cereal,2005-Cereal,2006-Cereal,2007-Cereal,2008-Cereal,2009-Cereal,2010-Cereal,2011-Cereal,2012-Cereal,2013-Cereal,2014-Cereal,,
Canada,124,501.55,466.58,531.58,488.06,339.21,422.94,415.29,646.27,1034.38,1912.74,1186.74,1012.36,1296.62,1669.83,2096.26,1788.95,332.54,289.67,342.40,331.62,192.42,242.70,246.63,386.02,576.09,1192.17,761.20,616.98,737.62,885.61,1178.51,1124.57,,,,,,,,,,,,,,,,,129.00,152.84,173.61,218.94,236.09,248.97,246.01,290.01,368.58,572.49,496.58,461.04,530.64,564.00,593.29,658.24,799.47,879.60,951.91,1137.72,1328.76,1460.54,1607.76,1748.52,1899.23,1983.88,1941.79,2163.32,2327.66,2402.26,2531.68,2646.93,,
Mexico,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,4.90,8.67,8.64,11.49,28.02,24.82,23.19,31.79,45.48,42.21,39.81,41.85,46.46,54.12,56.40,150.57,160.02,180.98,206.02,239.63,262.30,298.75,363.10,451.96,540.89,605.39,707.34,853.96,892.48,910.84,881.03,,
China,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.39,28.68,31.14,37.47,44.68,51.74,66.18,87.73,97.02,116.02,101.76,126.83,151.52,159.26,168.72,177.57,,
India,356,41.00,42.39,37.81,39.54,39.12,37.13,45.17,55.54,75.85,125.02,112.93,109.16,124.50,139.85,167.18,179.07,,,,,,,,,,,,,,,,,41.11,42.55,37.90,39.69,39.36,37.36,45.37,55.89,75.45,124.65,112.44,108.77,123.69,138.88,165.19,175.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,250,,,,,,,,,,,,,,,,,9.43,9.73,9.80,15.82,19.41,43.05,25.94,31.55,48.38,80.80,46.48,43.18,32.39,15.73,5.45,23.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,58.61,81.90,84.53,82.25,89.64,57.80,55.34,93.75,117.86,130.08,130.79,129.49,132.34,249.01,344.73,216.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.37,168.74,179.29,193.33,212.10,227.19,261.09,272.36,310.43,320.46,299.84,301.89,337.27,372.55,375.55,430.15,,
Brazil,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,36,,,,,,,,,,,,,,,,,38.23,37.41,24.42,27.73,29.21,25.97,26.93,26.03,49.05,94.34,116.21,160.74,143.35,132.40,192.41,197.83,,,,,,,,,,,,,,,,,38.44,37.86,24.55,27.85,29.78,27.31,27.79,26.74,49.83,94.78,117.76,160.97,143.42,132.46,193.50,199.19,,,,,,,,,,,,,,,,,,
Indonesia,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
