Country,CountryID,1999-Sugars,2000-Sugars,2001-Sugars,2002-Sugars,2003-Sugars,2004-Sugars,2005-Sugars,2006-Sugars,2007-Sugars,2008-Sugars,2009-Sugars,2010-Sugars,2011-Sugars,2012-Sugars,2013-Sugars,2014-Sugars,1999-Cocoa,2000-Cocoa,2001-Cocoa,2002-Cocoa,2003-Cocoa,2004-Cocoa,2005-Cocoa,2006-Cocoa,2007-Cocoa,2008-Cocoa,2009-Cocoa,2010-Cocoa,2011-Cocoa,2012-Cocoa,2013-Cocoa,2014-Cocoa,,,,,,,,,,,,,,,,,,
Canada,124,319.91,311.25,407.76,467.57,594.60,572.13,604.84,629.07,671.58,711.26,635.87,692.50,763.84,840.19,825.69,821.60,346.26,391.09,456.19,525.88,705.43,721.67,712.51,708.90,725.88,758.51,647.41,872.38,940.74,989.51,1046.06,1175.55,,,,,,,,,,,,,,,,,,
Mexico,484,176.44,174.92,215.58,295.61,266.54,307.52,457.81,758.84,469.87,804.12,903.09,1166.10,1742.06,1353.14,1696.25,1393.09,38.74,33.97,39.12,60.25,78.27,89.04,103.23,130.81,146.76,215.07,355.18,454.22,532.89,514.93,499.35,477.71,,,,,,,,,,,,,,,,,,
China,156,38.71,48.18,41.78,54.30,87.61,99.16,109.08,127.72,134.23,132.74,127.54,144.38,156.06,135.21,141.77,163.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,76,128.71,90.19,108.27,102.34,130.17,124.41,193.52,189.37,186.90,170.94,172.39,332.61,489.80,292.73,162.13,245.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,360,,,,,,,,,,,,,,,,,230.89,141.33,174.05,198.02,253.61,224.05,246.76,245.28,191.31,244.71,344.75,447.09,209.06,158.39,176.89,252.60,,,,,,,,,,,,,,,,,,
Vietnam,704,1.68,1.75,5.07,18.67,16.95,13.43,14.14,17.71,24.96,37.95,37.32,49.14,69.71,53.14,86.48,125.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,218,,,,,,,,,,,,,,,,,52.91,32.66,31.64,35.77,57.16,61.10,56.61,35.28,62.70,116.89,184.31,103.54,246.87,132.46,184.95,257.95,,,,,,,,,,,,,,,,,,
Peru,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,320,82.29,44.54,40.21,53.38,88.96,75.60,110.27,114.79,110.36,183.83,105.77,225.81,143.32,214.57,64.29,151.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,170,42.65,54.00,44.24,51.17,64.40,68.50,69.77,81.82,32.86,40.86,84.46,65.51,69.33,94.02,67.14,101.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,32,64.42,81.39,55.99,86.57,66.22,58.57,78.65,110.44,75.02,70.13,74.08,148.82,187.50,205.31,169.17,174.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,384,,,,,,,,,,,,,,,,,291.18,238.70,219.17,275.98,403.95,457.52,607.45,463.50,427.02,624.69,635.41,770.22,870.54,731.54,806.60,942.51,,,,,,,,,,,,,,,,,,
Honduras,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
