Country,CountryID,1999-VegOils,2000-VegOils,2001-VegOils,2002-VegOils,2003-VegOils,2004-VegOils,2005-VegOils,2006-VegOils,2007-VegOils,2008-VegOils,2009-VegOils,2010-VegOils,2011-VegOils,2012-VegOils,2013-VegOils,2014-VegOils,1999-Oilseeds,2000-Oilseeds,2001-Oilseeds,2002-Oilseeds,2003-Oilseeds,2004-Oilseeds,2005-Oilseeds,2006-Oilseeds,2007-Oilseeds,2008-Oilseeds,2009-Oilseeds,2010-Oilseeds,2011-Oilseeds,2012-Oilseeds,2013-Oilseeds,2014-Oilseeds,,,,
Canada,124,282.45,222.16,211.71,229.64,279.02,368.15,347.19,470.27,691.36,1425.24,964.92,1096.00,2050.68,1927.85,1674.69,1621.41,148.09,136.20,124.64,125.58,159.77,237.40,243.14,302.60,474.55,838.23,526.86,563.82,755.75,687.69,847.86,963.55,,,,
Mexico,484,22.86,16.41,19.78,17.23,23.31,29.93,42.74,46.27,61.09,75.47,41.40,46.89,62.04,76.37,82.89,90.59,,,,,,,,,,,,,,,,,,,,
China,156,,,,,,,,,,,,,,,,,1.80,2.45,3.33,5.04,10.35,23.56,34.30,27.08,33.38,79.33,57.65,28.18,31.19,85.04,105.56,95.56,,,,
India,356,40.48,39.11,28.83,19.59,21.27,91.13,35.92,35.56,46.47,84.83,42.89,72.96,102.21,84.55,87.82,93.93,17.10,22.46,15.32,20.26,24.66,36.84,28.81,35.57,43.67,76.71,47.65,56.96,80.30,70.82,100.53,168.74,,,,
France,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,83.68,92.95,23.67,35.41,25.40,50.68,95.91,95.89,101.99,239.97,184.80,105.75,360.89,191.58,456.16,664.49,,,,,,,,,,,,,,,,,,,,
Brazil,76,,,,,,,,,,,,,,,,,0.31,0.75,1.40,0.81,0.19,6.28,9.74,3.45,0.24,0.79,0.90,0.21,0.22,0.43,183.57,555.65,,,,
Australia,36,,,,,,,,,,,,,,,,,33.43,40.78,40.84,33.81,5.29,5.10,5.11,3.51,5.06,4.96,10.64,2.38,16.97,40.79,58.40,54.89,,,,
Indonesia,360,83.68,92.95,23.67,35.41,25.40,50.68,95.91,95.89,101.99,239.97,184.80,105.75,360.89,191.58,456.16,664.49,,,,,,,,,,,,,,,,,,,,
