Type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
RedMeat,2672.92,3215.30,3634.28,3602.26,3620.88,4786.52,4820.66,4225.59,4274.25,4004.95,3656.06,4223.61,4727.27,5205.21,5421.71,7782.04
Fowl,40.48,46.20,53.72,68.90,68.68,95.89,98.33,117.81,165.50,185.39,192.22,212.31,213.02,239.64,257.55,268.86
Prepared,545.54,564.37,565.56,609.34,735.01,834.35,831.00,897.95,925.64,867.57,759.63,649.83,812.71,797.54,844.44,877.96
Fish,8859.78,9879.79,9663.26,9963.35,10859.88,11106.29,11840.23,13112.28,13434.57,13911.95,12933.86,14516.66,16459.37,16468.71,17820.89,20047.41
Dairy,930.31,922.33,995.75,1008.77,1110.30,1292.30,1388.43,1405.67,1500.81,1595.57,1353.43,1347.20,1502.12,1603.95,1648.96,1843.76
Vegetables,3631.59,3771.37,4156.61,4391.09,5082.41,5729.99,6043.08,6619.30,7256.05,7800.57,7525.21,8705.59,9666.64,9945.60,10732.54,10904.48
Fruit,4793.66,4647.38,4677.75,5080.68,5569.46,5976.43,6909.33,7737.91,9257.47,9919.31,9668.52,10684.98,12006.33,12570.95,13637.12,14843.20
Nuts,1311.30,1335.40,1098.30,1139.70,1256.20,1737.60,1811.30,1755.40,1935.40,2196.60,2068.00,2371.50,3062.10,3129.10,3256.80,3767.30
Coffee,2896.11,2702.80,1679.49,1696.16,1961.12,2266.51,2978.60,3316.04,3770.58,4415.78,4072.92,4946.50,8101.48,7023.13,5813.45,6328.64
Tea,212.62,218.49,236.21,246.01,266.18,293.15,330.66,379.49,400.85,439.48,440.16,519.54,569.36,589.26,626.46,615.94
Spices,495.01,520.46,485.03,512.80,644.56,584.61,461.55,499.39,619.78,725.58,647.26,798.98,1044.94,1113.30,1193.28,1341.41
Grains,2773.56,2862.97,3094.49,3441.08,3718.18,4084.08,4322.78,5055.43,6104.22,7916.81,7034.87,7307.33,8229.33,9441.64,10835.84,10383.06
Oils,1182.72,1173.25,992.70,1122.23,1328.87,1959.98,2086.36,2495.81,3041.37,4819.93,3418.16,3931.23,6084.91,5437.47,5246.07,5371.15
Sugars,1593.68,1560.93,1606.61,1860.38,2137.59,2114.27,2500.59,3055.33,2606.79,2990.54,3090.05,4060.05,5161.42,4802.98,4294.87,4492.37
Cocao,1522.50,1404.47,1535.93,1760.85,2439.23,2484.38,2750.60,2659.23,2661.59,3298.82,3476.22,4295.16,4680.55,4095.69,4158.92,4731.06
