Country,CountryID,1999-Total,2000-Total,2001-Total,2002-Total,2003-Total,2004-Total,2005-Total,2006-Total,2007-Total,2008-Total,2009-Total,2010-Total,2011-Total,2012-Total,2013-Total,2014-Total,1999-Whole,2000-Whole,2001-Whole,2002-Whole,2003-Whole,2004-Whole,2005-Whole,2006-Whole,2007-Whole,2008-Whole,2009-Whole,2010-Whole,2011-Whole,2012-Whole,2013-Whole,2014-Whole,1999-Mince,2000-Mince,2001-Mince,2002-Mince,2003-Mince,2004-Mince,2005-Mince,2006-Mince,2007-Mince,2008-Mince,2009-Mince,2010-Mince,2011-Mince,2012-Mince,2013-Mince,2014-Mince,1999-Shell,2000-Shell,2001-Shell,2002-Shell,2003-Shell,2004-Shell,2005-Shell,2006-Shell,2007-Shell,2008-Shell,2009-Shell,2010-Shell,2011-Shell,2012-Shell,2013-Shell,2014-Shell,1999-ShellPrep,2000-ShellPrep,2001-ShellPrep,2002-ShellPrep,2003-ShellPrep,2004-ShellPrep,2005-ShellPrep,2006-ShellPrep,2007-ShellPrep,2008-ShellPrep,2009-ShellPrep,2010-ShellPrep,2011-ShellPrep,2012-ShellPrep,2013-ShellPrep,2014-ShellPrep
Canada,124,1708.80,1910.69,1941.43,2043.03,2125.64,2108.98,2145.47,2178.42,2200.26,2251.13,2005.50,2305.77,2507.68,2493.76,2630.49,2741.40,417.58,417.33,434.91,467.50,425.34,415.04,487.79,592.99,586.35,585.45,547.83,634.72,634.39,654.94,628.18,586.78,287.01,298.35,315.75,326.83,315.66,293.98,276.09,221.58,215.09,241.08,221.03,267.32,247.28,212.37,225.02,212.35,681.41,823.66,855.23,924.01,1055.79,1059.76,987.70,988.25,1087.92,1083.29,955.20,1069.44,1276.94,1231.84,1396.61,1546.55,322.80,371.36,335.54,324.70,328.85,340.21,393.89,375.60,310.90,341.32,281.45,334.29,349.08,394.60,380.69,395.71
Mexico,484,,,,,,,,,,,,,,,,,44.20,52.55,37.04,35.88,39.65,45.51,54.06,50.97,56.60,53.48,53.86,60.90,71.35,81.62,95.20,98.06,,,,,,,,,,,,,,,,,417.17,444.48,411.14,298.48,318.30,349.39,345.97,344.54,375.03,364.36,350.47,254.35,334.15,294.98,316.38,340.37,,,,,,,,,,,,,,,,
China,156,430.73,579.45,655.67,864.67,1144.22,1236.66,1440.45,1921.45,1998.45,2151.22,2018.59,2369.02,2626.43,2635.33,2665.77,2855.20,22.19,26.20,22.94,40.00,55.50,68.15,84.59,130.42,107.85,124.33,99.75,99.80,117.86,111.89,110.85,127.40,192.36,255.18,241.77,330.66,392.20,516.96,715.95,941.19,1116.35,1210.50,1165.78,1319.66,1466.43,1472.45,1449.37,1583.26,134.09,230.68,270.78,288.03,425.33,339.02,248.44,305.57,266.70,300.53,233.61,335.81,388.02,311.45,330.59,329.36,82.09,67.39,120.20,205.98,271.18,312.53,391.47,544.27,507.55,515.87,519.46,613.78,654.12,739.54,774.96,815.18
India,356,199.07,283.63,296.06,395.79,452.63,406.59,376.06,321.78,260.35,222.72,232.50,375.82,611.03,665.76,1113.63,1458.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.40,251.11,266.02,369.08,415.89,364.86,327.77,272.98,207.57,162.14,166.48,317.54,534.54,584.92,993.90,1294.02,11.43,14.45,15.79,14.38,25.74,27.91,28.14,31.56,33.57,41.97,45.83,43.22,60.15,64.11,104.82,149.02
France,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,152,371.20,499.16,483.62,507.70,664.71,668.78,755.50,953.06,1022.43,981.68,731.12,592.44,897.16,1017.90,1367.13,1643.43,,,,,,,,,,,,,,,,,263.53,377.04,395.88,422.79,546.26,551.71,635.43,815.97,881.89,846.84,591.33,468.16,751.26,884.81,1219.46,1459.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,360,306.10,361.58,381.41,398.99,427.96,633.53,727.95,777.43,878.90,1092.72,911.94,990.11,1174.92,1267.13,1401.06,1886.09,,,,,,,,,,,,,,,,,29.13,49.51,56.93,62.08,72.26,72.58,99.69,105.60,136.57,162.45,170.55,203.73,178.93,256.84,218.42,224.31,161.59,186.16,154.80,143.10,169.30,332.59,349.71,374.58,400.82,562.10,423.76,440.14,607.45,588.58,784.11,1122.18,96.38,99.40,141.57,164.79,157.00,191.02,226.90,263.74,305.08,336.58,286.82,319.89,365.38,398.28,377.87,525.22
